timestamp,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,temperature_2m,relative_humidity_2m,precipitation,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,snow_depth,is_day
2026-06-13 08:00:00+02:00,138.0,46.0,92.0,136.5,83,66,67,4,17.0,75,0.0,1021.9,961.1,18.0,254,0.0,1
2026-06-13 09:00:00+02:00,236.0,84.0,152.0,170.2,60,43,37,1,17.8,74,0.0,1021.5,960.9,17.5,256,0.0,1
2026-06-13 10:00:00+02:00,378.0,166.0,212.0,260.9,95,90,51,0,18.9,70,0.0,1021.4,961.0,20.8,261,0.0,1
2026-06-13 11:00:00+02:00,396.0,188.0,208.0,248.8,83,76,10,0,19.7,68,0.0,1021.2,961.0,20.3,263,0.0,1
2026-06-13 12:00:00+02:00,624.0,353.0,271.0,418.4,86,63,66,0,21.0,62,0.0,1020.8,960.9,21.3,265,0.0,1
2026-06-13 13:00:00+02:00,658.0,383.0,275.0,428.4,27,15,16,0,22.1,54,0.0,1020.2,960.5,23.4,270,0.0,1
2026-06-13 14:00:00+02:00,781.0,521.0,260.0,576.6,84,63,79,0,23.2,49,0.0,1019.6,960.2,23.8,266,0.0,1
2026-06-13 15:00:00+02:00,778.0,548.0,230.0,628.7,57,0,57,0,24.3,43,0.0,1018.6,959.4,25.2,270,0.0,1
2026-06-13 16:00:00+02:00,614.0,404.0,210.0,504.8,92,0,92,0,24.9,40,0.0,1018.0,959.0,22.7,269,0.0,1
2026-06-13 17:00:00+02:00,534.0,356.0,178.0,512.7,10,0,10,0,24.8,39,0.0,1017.5,958.5,21.5,279,0.0,1
2026-06-13 18:00:00+02:00,366.0,217.0,149.0,386.7,68,33,56,0,24.4,46,0.0,1017.1,958.0,20.2,269,0.0,1
2026-06-13 19:00:00+02:00,229.0,111.0,118.0,270.9,58,44,52,0,23.7,44,0.0,1017.0,957.8,17.2,281,0.0,1
2026-06-13 20:00:00+02:00,153.0,71.0,82.0,283.4,64,7,60,0,22.7,53,0.0,1017.1,957.7,12.6,273,0.0,1
2026-06-13 21:00:00+02:00,38.0,8.0,30.0,81.0,57,39,50,0,21.3,57,0.0,1017.5,957.8,10.5,274,0.0,1
2026-06-13 22:00:00+02:00,0.0,0.0,0.0,0.0,4,4,0,0,19.6,67,0.0,1017.9,957.9,8.6,268,0.0,0
2026-06-13 23:00:00+02:00,0.0,0.0,0.0,0.0,4,4,0,0,18.1,74,0.0,1018.2,957.9,7.2,252,0.0,0
2026-06-14 00:00:00+02:00,0.0,0.0,0.0,0.0,77,41,58,0,17.3,73,0.0,1018.3,957.8,8.8,261,0.0,0
2026-06-14 01:00:00+02:00,0.0,0.0,0.0,0.0,79,51,58,0,16.9,72,0.0,1018.4,957.8,10.1,274,0.0,0
2026-06-14 02:00:00+02:00,0.0,0.0,0.0,0.0,93,85,47,0,15.9,76,0.0,1018.6,957.8,9.2,296,0.0,0
2026-06-14 03:00:00+02:00,0.0,0.0,0.0,0.0,89,89,0,2,15.2,78,0.0,1018.6,957.6,6.6,292,0.0,0
2026-06-14 04:00:00+02:00,0.0,0.0,0.0,0.0,88,88,0,1,14.9,80,0.0,1018.2,957.2,6.5,270,0.0,0
2026-06-14 05:00:00+02:00,0.0,0.0,0.0,0.0,84,84,0,0,14.6,79,0.0,1017.8,956.8,7.6,278,0.0,0
2026-06-14 06:00:00+02:00,10.0,1.0,9.0,15.6,70,70,0,0,14.3,79,0.0,1017.6,956.5,7.6,275,0.0,1
2026-06-14 07:00:00+02:00,73.0,17.0,56.0,95.6,84,84,0,0,14.3,78,0.0,1017.7,956.6,8.4,277,0.0,1
2026-06-14 08:00:00+02:00,180.0,65.0,115.0,192.8,77,77,0,0,14.8,77,0.0,1017.6,956.6,9.3,283,0.0,1
