horizon_minutes,cloud_regime,picp,mpiw,normalized_mpiw,pinball_loss_p10,pinball_loss_p50,pinball_loss_p90,interval_score,samples
60,clear,0.9606425702811245,169.81242141359996,0.19451594663642607,15.959858768503654,3.5607843689378846,1.8321118039794937,177.9197057248315,1245
60,cloudy,0.949054419143188,123.97062897125558,0.14601958653858135,9.782696907052687,7.901811557865414,3.826919979646703,136.0961688669939,2591
60,partly_cloudy,0.9344827586206896,218.5078075769834,0.2500089331544432,19.338678338938777,9.394780409358534,4.293142062959509,236.3182040189829,580
60,unknown,0.8783967391304348,131.4237374615548,0.1464135574759417,11.868107789855074,5.540166299995312,4.085770354445307,159.53878144300378,17664
180,clear,0.9742558326629123,170.72031618535084,0.19555591773808803,15.985538348179444,5.034270879816695,1.6051690192186074,175.90707367398053,1243
180,cloudy,0.9513701273639521,140.41133889765757,0.16538438032704073,9.782696907052687,11.550177054082852,5.353242366175341,151.35939273228027,2591
180,partly_cloudy,0.9448275862068966,227.95913773392044,0.26082281205254054,19.338678338938777,12.429428292838722,4.34386650521955,236.82544844158332,580
180,unknown,0.8884798368826461,149.0832007122573,0.16608720918903022,11.873485274127775,10.537699524166175,5.93174895141292,178.05234225540696,17656
360,clear,0.9710144927536232,171.77722261899493,0.19676657802863107,15.998409152002456,5.594333798655584,1.7570387257789248,177.5544787778138,1242
360,cloudy,0.9505982246236974,146.42637522608695,0.17246922877042042,9.782696907052687,14.461497142521644,5.8974819777489005,156.80178884801583,2591
360,partly_cloudy,0.9342560553633218,233.0447966612276,0.2666416437771483,19.40559418094203,13.942909262971535,4.849695985079255,242.55290166021283,578
360,unknown,0.8898209022897302,163.25063365458632,0.18187053948729565,11.881389934255271,16.15890392913846,7.358251028669361,192.39640962924634,17644
720,clear,0.9652103559870551,172.88055974067504,0.19803042352883737,15.912398193193408,5.74910422360042,1.6842483217590105,175.9664651495242,1236
720,cloudy,0.9602470088768815,155.88575463691532,0.18361101841803926,9.782696907052687,16.433672674003915,6.656755208160376,164.3945211521306,2591
720,partly_cloudy,0.9532871972318339,238.50782790969987,0.2728922516129289,19.40559418094203,13.823104648600621,4.811829878902464,242.1742405984449,578
720,unknown,0.8876844494892168,171.3428741124943,0.19088575801842014,11.835674460839954,19.51032735509595,8.170171876825608,200.05846337665568,17620
1440,clear,0.9456609894566099,167.66445331990846,0.19205550208466032,15.82216071921091,6.6749541069078875,1.7619455917268154,175.84106310937725,1233
1440,cloudy,0.9663703131039815,155.06322811388242,0.18264220036970838,9.725669905169868,17.096808133670667,6.6406651569834425,163.6633506215331,2587
1440,partly_cloudy,0.9650959860383944,231.53140565503594,0.26491007512017845,19.33787583840961,14.534857828007942,4.612658994872548,239.50534833282157,573
1440,unknown,0.8801502390166174,163.3193841144158,0.1819471314302442,11.75466264511723,18.318393626953945,7.923450109467826,196.7811275458506,17572
