feature,importance,backend
GHI_phys_target,43.72747005066915,sklearn_hist_gradient_boosting_fallback
target_GHI_clear,17.354625589785904,sklearn_hist_gradient_boosting_fallback
satellite_clear_sky_index_issue,12.917858814771783,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_forecast_proxy,9.076353516033393,sklearn_hist_gradient_boosting_fallback
ghi_issue,5.2025757309722565,sklearn_hist_gradient_boosting_fallback
satellite_ssi_trend,4.668438272954319,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_1,3.1702549178749706,sklearn_hist_gradient_boosting_fallback
satellite_ssi_issue,2.1348683383394444,sklearn_hist_gradient_boosting_fallback
cloud_cover_issue,1.8935382433863097,sklearn_hist_gradient_boosting_fallback
irradiance_source_std,1.8407566358646932,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_3,0.8117527774459674,sklearn_hist_gradient_boosting_fallback
target_solar_zenith,0.7477408545463717,sklearn_hist_gradient_boosting_fallback
target_solar_elevation,0.6702210992976774,sklearn_hist_gradient_boosting_fallback
issue_clear_sky_ghi,0.47414697077417856,sklearn_hist_gradient_boosting_fallback
ghi_lag_2,0.2958081344664052,sklearn_hist_gradient_boosting_fallback
target_solar_azimuth,0.2943377158390703,sklearn_hist_gradient_boosting_fallback
target_DNI_clear,0.24295353349680937,sklearn_hist_gradient_boosting_fallback
cloud_cover_trend,0.1563788719455701,sklearn_hist_gradient_boosting_fallback
target_air_mass,0.12450705004270901,sklearn_hist_gradient_boosting_fallback
clear_sky_index_lag_2,0.10450365994795163,sklearn_hist_gradient_boosting_fallback
ghi_lag_1,0.08335932397365298,sklearn_hist_gradient_boosting_fallback
ghi_lag_3,0.08309994048542535,sklearn_hist_gradient_boosting_fallback
satellite_ssi_lag_1,0.066524751111956,sklearn_hist_gradient_boosting_fallback
target_DHI_clear,0.033369748974422464,sklearn_hist_gradient_boosting_fallback
cloud_cover_lag_1,0.031207183132607952,sklearn_hist_gradient_boosting_fallback
target_temperature_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_relative_humidity_2m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_wind_speed_10m_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_high_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_mid_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_precipitation_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
site_id,0.0,sklearn_hist_gradient_boosting_fallback
satellite_data_available,0.0,sklearn_hist_gradient_boosting_fallback
target_cloud_cover_low_forecast_proxy,0.0,sklearn_hist_gradient_boosting_fallback
target_cos_zenith,0.0,sklearn_hist_gradient_boosting_fallback
number_of_available_irradiance_sources,0.0,sklearn_hist_gradient_boosting_fallback
latitude,0.0,sklearn_hist_gradient_boosting_fallback
best_satellite_source,0.0,sklearn_hist_gradient_boosting_fallback
quality_flag,0.0,sklearn_hist_gradient_boosting_fallback
longitude,0.0,sklearn_hist_gradient_boosting_fallback
horizon_minutes,0.0,sklearn_hist_gradient_boosting_fallback
